epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,556.008,1.64767,0.63529,0.00362,0.89376,0.88388,0.89341,0.44998,1.99696,0.6401,0.00451,0.000983666,0.000983666,0.000983666
43,570.791,1.62744,0.6571,0.00351,0.8512,0.85752,0.85661,0.43936,2.02316,0.6991,0.00453,0.000982864,0.000982864,0.000982864
44,585.828,1.64156,0.66318,0.00357,0.84545,0.88674,0.85569,0.42564,2.05927,0.74554,0.0047,0.000982043,0.000982043,0.000982043
45,598.228,1.61069,0.64728,0.00359,0.8059,0.82808,0.85214,0.41825,2.06811,0.81869,0.00455,0.000981204,0.000981204,0.000981204
46,610.62,1.62378,0.62521,0.00358,0.84676,0.85829,0.86451,0.437,2.06033,0.74248,0.00456,0.000980345,0.000980345,0.000980345
47,623.04,1.59888,0.6582,0.00349,0.85364,0.88872,0.87764,0.45531,1.98387,0.69123,0.00443,0.000979468,0.000979468,0.000979468
48,635.836,1.61241,0.6291,0.00357,0.85659,0.85876,0.86909,0.45385,1.96891,0.72596,0.00438,0.000978572,0.000978572,0.000978572
49,648.262,1.58716,0.63869,0.00354,0.78885,0.84751,0.85039,0.43758,2.00061,0.7414,0.00452,0.000977658,0.000977658,0.000977658
50,661.058,1.59624,0.61952,0.00351,0.86926,0.87063,0.88026,0.45506,1.961,0.73698,0.00433,0.000976725,0.000976725,0.000976725
51,673.35,1.62243,0.631,0.00362,0.84429,0.88081,0.8861,0.45181,1.94909,0.67524,0.00438,0.000975773,0.000975773,0.000975773
52,686.521,1.61918,0.63239,0.00361,0.87611,0.90308,0.89396,0.45634,1.94642,0.81094,0.00428,0.000974803,0.000974803,0.000974803
53,699.042,1.59328,0.6269,0.00342,0.85518,0.89114,0.88424,0.44916,2.01368,0.72119,0.00445,0.000973814,0.000973814,0.000973814
54,711.978,1.60236,0.62792,0.00349,0.8477,0.90779,0.86425,0.42942,2.01951,0.75831,0.00453,0.000972806,0.000972806,0.000972806
